provincia ;canton;area_de_residencia;numero_total_de_personas
Total Nacional;Nacional;Nacional;16.938.986
Total Nacional;Nacional;Urbana;10.687.151
Total Nacional;Nacional;Rural;6.251.835
Azuay;Total Azuay;Total Azuay;801.609
Azuay;Total Azuay;Urbana;420.141
Azuay;Total Azuay;Rural;381.468
Azuay;Cuenca;Total Cuenca;596.101
Azuay;Cuenca;Urbana;361.524
Azuay;Cuenca;Rural;234.577
Azuay;Girón;Total Girón;12.182
Azuay;Girón;Urbana;4.353
Azuay;Girón;Rural;7.829
Azuay;Gualaceo;Total Gualaceo;43.188
Azuay;Gualaceo;Urbana;13.843
Azuay;Gualaceo;Rural;29.345
Azuay;Nabón;Total Nabón;14.776
Azuay;Nabón;Urbana;1.276
Azuay;Nabón;Rural;13.500
Azuay;Paute;Total Paute;26.782
Azuay;Paute;Urbana;8.766
Azuay;Paute;Rural;18.016
Azuay;Pucará;Total Pucará;9.693
Azuay;Pucará;Urbana;855
Azuay;Pucará;Rural;8.838
Azuay;San Fernando;Total San Fernando;3.738
Azuay;San Fernando;Urbana;1.407
Azuay;San Fernando;Rural;2.331
Azuay;Santa Isabel;Total Santa Isabel;20.753
Azuay;Santa Isabel;Urbana;6.194
Azuay;Santa Isabel;Rural;14.559
Azuay;Sígsig;Total Sígsig;24.992
Azuay;Sígsig;Urbana;4.029
Azuay;Sígsig;Rural;20.963
Azuay;Oña;Total Oña;3.422
Azuay;Oña;Urbana;989
Azuay;Oña;Rural;2.433
Azuay;Chordeleg;Total Chordeleg;12.197
Azuay;Chordeleg;Urbana;4.445
Azuay;Chordeleg;Rural;7.752
Azuay;El Pan;Total El Pan;2.776
Azuay;El Pan;Urbana;503
Azuay;El Pan;Rural;2.273
Azuay;Sevilla de Oro;Total Sevilla de Oro;4.613
Azuay;Sevilla de Oro;Urbana;732
Azuay;Sevilla de Oro;Rural;3.881
Azuay;Guachapala;Total Guachapala;3.586
Azuay;Guachapala;Urbana;1.210
Azuay;Guachapala;Rural;2.376
Azuay;Camilo Ponce Enríquez;Total Camilo Ponce Enríquez;22.810
Azuay;Camilo Ponce Enríquez;Urbana;10.015
Azuay;Camilo Ponce Enríquez;Rural;12.795
Bolívar;Total Bolívar;Total Bolívar;199.078
Bolívar;Total Bolívar;Urbana;64.172
Bolívar;Total Bolívar;Rural;134.906
Bolívar;Guaranda;Total Guaranda;98.130
Bolívar;Guaranda;Urbana;30.755
Bolívar;Guaranda;Rural;67.375
Bolívar;Chillanes;Total Chillanes;19.802
Bolívar;Chillanes;Urbana;3.251
Bolívar;Chillanes;Rural;16.551
Bolívar;Chimbo;Total Chimbo;15.524
Bolívar;Chimbo;Urbana;4.354
Bolívar;Chimbo;Rural;11.170
Bolívar;Echeandía;Total Echeandía;14.654
Bolívar;Echeandía;Urbana;7.138
Bolívar;Echeandía;Rural;7.516
Bolívar;San Miguel;Total San Miguel;28.349
Bolívar;San Miguel;Urbana;8.806
Bolívar;San Miguel;Rural;19.543
Bolívar;Caluma;Total Caluma;15.607
Bolívar;Caluma;Urbana;7.884
Bolívar;Caluma;Rural;7.723
Bolívar;Las Naves;Total Las Naves;7.012
Bolívar;Las Naves;Urbana;1.984
Bolívar;Las Naves;Rural;5.028
Cañar;Total Cañar;Total Cañar;227.578
Cañar;Total Cañar;Urbana;101.098
Cañar;Total Cañar;Rural;126.480
Cañar;Azogues;Total Azogues;74.515
Cañar;Azogues;Urbana;35.763
Cañar;Azogues;Rural;38.752
Cañar;Biblián;Total Biblián;18.852
Cañar;Biblián;Urbana;5.728
Cañar;Biblián;Rural;13.124
Cañar;Cañar;Total Cañar;52.150
Cañar;Cañar;Urbana;13.148
Cañar;Cañar;Rural;39.002
Cañar;La Troncal;Total La Troncal;62.103
Cañar;La Troncal;Urbana;39.600
Cañar;La Troncal;Rural;22.503
Cañar;El Tambo;Total El Tambo;9.285
Cañar;El Tambo;Urbana;5.202
Cañar;El Tambo;Rural;4.083
Cañar;Déleg;Total Déleg;6.046
Cañar;Déleg;Urbana;645
Cañar;Déleg;Rural;5.401
Cañar;Suscal;Total Suscal;4.627
Cañar;Suscal;Urbana;1.012
Cañar;Suscal;Rural;3.615
Carchi;Total Carchi;Total Carchi;172.828
Carchi;Total Carchi;Urbana;87.957
Carchi;Total Carchi;Rural;84.871
Carchi;Tulcán;Total Tulcán;92.375
Carchi;Tulcán;Urbana;56.719
Carchi;Tulcán;Rural;35.656
Carchi;Bolívar;Total Bolívar;15.677
Carchi;Bolívar;Urbana;3.377
Carchi;Bolívar;Rural;12.300
Carchi;Espejo;Total Espejo;14.522
Carchi;Espejo;Urbana;5.181
Carchi;Espejo;Rural;9.341
Carchi;Mira;Total Mira;12.727
Carchi;Mira;Urbana;3.691
Carchi;Mira;Rural;9.036
Carchi;Montúfar;Total Montúfar;29.590
Carchi;Montúfar;Urbana;14.497
Carchi;Montúfar;Rural;15.093
Carchi;San Pedro de Huaca;Total San Pedro de Huaca;7.937
Carchi;San Pedro de Huaca;Urbana;4.492
Carchi;San Pedro de Huaca;Rural;3.445
Cotopaxi;Total Cotopaxi;Total Cotopaxi;470.210
Cotopaxi;Total Cotopaxi;Urbana;156.481
Cotopaxi;Total Cotopaxi;Rural;313.729
Cotopaxi;Latacunga;Total Latacunga;217.261
Cotopaxi;Latacunga;Urbana;77.267
Cotopaxi;Latacunga;Rural;139.994
Cotopaxi;La Maná;Total La Maná;53.793
Cotopaxi;La Maná;Urbana;31.740
Cotopaxi;La Maná;Rural;22.053
Cotopaxi;Pangua;Total Pangua;21.867
Cotopaxi;Pangua;Urbana;1.872
Cotopaxi;Pangua;Rural;19.995
Cotopaxi;Pujilí;Total Pujilí;66.980
Cotopaxi;Pujilí;Urbana;16.152
Cotopaxi;Pujilí;Rural;50.828
Cotopaxi;Salcedo;Total Salcedo;67.493
Cotopaxi;Salcedo;Urbana;16.751
Cotopaxi;Salcedo;Rural;50.742
Cotopaxi;Saquisilí;Total Saquisilí;24.356
Cotopaxi;Saquisilí;Urbana;9.883
Cotopaxi;Saquisilí;Rural;14.473
Cotopaxi;Sigchos;Total Sigchos;18.460
Cotopaxi;Sigchos;Urbana;2.816
Cotopaxi;Sigchos;Rural;15.644
Chimborazo;Total Chimborazo;Total Chimborazo;471.933
Chimborazo;Total Chimborazo;Urbana;224.667
Chimborazo;Total Chimborazo;Rural;247.266
Chimborazo;Riobamba;Total Riobamba;260.882
Chimborazo;Riobamba;Urbana;177.213
Chimborazo;Riobamba;Rural;83.669
Chimborazo;Alausí;Total Alausí;37.275
Chimborazo;Alausí;Urbana;6.071
Chimborazo;Alausí;Rural;31.204
Chimborazo;Colta;Total Colta;30.468
Chimborazo;Colta;Urbana;2.785
Chimborazo;Colta;Rural;27.683
Chimborazo;Chambo;Total Chambo;13.431
Chimborazo;Chambo;Urbana;5.462
Chimborazo;Chambo;Rural;7.969
Chimborazo;Chunchi;Total Chunchi;10.635
Chimborazo;Chunchi;Urbana;3.799
Chimborazo;Chunchi;Rural;6.836
Chimborazo;Guamote;Total Guamote;35.769
Chimborazo;Guamote;Urbana;3.076
Chimborazo;Guamote;Rural;32.693
Chimborazo;Guano;Total Guano;48.327
Chimborazo;Guano;Urbana;9.136
Chimborazo;Guano;Rural;39.191
Chimborazo;Pallatanga;Total Pallatanga;11.796
Chimborazo;Pallatanga;Urbana;4.266
Chimborazo;Pallatanga;Rural;7.530
Chimborazo;Penipe;Total Penipe;6.748
Chimborazo;Penipe;Urbana;1.417
Chimborazo;Penipe;Rural;5.331
Chimborazo;Cumandá;Total Cumandá;16.602
Chimborazo;Cumandá;Urbana;11.442
Chimborazo;Cumandá;Rural;5.160
El Oro;Total El Oro;Total El Oro;714.592
El Oro;Total El Oro;Urbana;561.225
El Oro;Total El Oro;Rural;153.367
El Oro;Machala;Total Machala;306.309
El Oro;Machala;Urbana;288.072
El Oro;Machala;Rural;18.237
El Oro;Arenillas;Total Arenillas;32.366
El Oro;Arenillas;Urbana;21.524
El Oro;Arenillas;Rural;10.842
El Oro;Atahualpa;Total Atahualpa;6.112
El Oro;Atahualpa;Urbana;1.769
El Oro;Atahualpa;Rural;4.343
El Oro;Balsas;Total Balsas;7.875
El Oro;Balsas;Urbana;4.500
El Oro;Balsas;Rural;3.375
El Oro;Chilla;Total Chilla;2.251
El Oro;Chilla;Urbana;910
El Oro;Chilla;Rural;1.341
El Oro;El Guabo;Total El Guabo;59.536
El Oro;El Guabo;Urbana;26.635
El Oro;El Guabo;Rural;32.901
El Oro;Huaquillas;Total Huaquillas;56.303
El Oro;Huaquillas;Urbana;56.021
El Oro;Huaquillas;Rural;282
El Oro;Marcabelí;Total Marcabelí;6.870
El Oro;Marcabelí;Urbana;4.973
El Oro;Marcabelí;Rural;1.897
El Oro;Pasaje;Total Pasaje;83.597
El Oro;Pasaje;Urbana;60.147
El Oro;Pasaje;Rural;23.450
El Oro;Piñas;Total Piñas;29.406
El Oro;Piñas;Urbana;18.482
