provincia ;canton;Edad;personas_por_edad
Total Nacional;Nacional;Nacional;16.938.986
Total Nacional;Nacional;De 0-4;1.293.325
Total Nacional;Nacional;De 5-9;1.412.087
Total Nacional;Nacional;De 10-14;1.607.577
Total Nacional;Nacional;De 15-19;1.533.824
Total Nacional;Nacional;De 20-24;1.495.912
Total Nacional;Nacional;De 25-29;1.347.168
Total Nacional;Nacional;De 30-34;1.243.063
Total Nacional;Nacional;De 35-39;1.173.922
Total Nacional;Nacional;De 40-44;1.112.429
Total Nacional;Nacional;De 45-49;951.536
Total Nacional;Nacional;De 50-54;860.590
Total Nacional;Nacional;De 55-59;752.046
Total Nacional;Nacional;De 60-64;634.917
Total Nacional;Nacional;De 65-69;516.770
Total Nacional;Nacional;De 70-74;380.529
Total Nacional;Nacional;De 75-79;271.820
Total Nacional;Nacional;De 80-84;178.073
Total Nacional;Nacional;85 o más;173.398
Azuay;Total Azuay;Total Azuay;801.609
Azuay;Total Azuay;De 0-4;54.110
Azuay;Total Azuay;De 5-9;66.035
Azuay;Total Azuay;De 10-14;71.876
Azuay;Total Azuay;De 15-19;71.444
Azuay;Total Azuay;De 20-24;71.192
Azuay;Total Azuay;De 25-29;64.283
Azuay;Total Azuay;De 30-34;60.276
Azuay;Total Azuay;De 35-39;57.703
Azuay;Total Azuay;De 40-44;51.875
Azuay;Total Azuay;De 45-49;43.196
Azuay;Total Azuay;De 50-54;39.725
Azuay;Total Azuay;De 55-59;34.529
Azuay;Total Azuay;De 60-64;30.365
Azuay;Total Azuay;De 65-69;25.486
Azuay;Total Azuay;De 70-74;20.324
Azuay;Total Azuay;De 75-79;16.039
Azuay;Total Azuay;De 80-84;11.407
Azuay;Total Azuay;85 o más;11.744
Azuay;Cuenca;Total Cuenca;596.101
Azuay;Cuenca;De 0-4;37.739
Azuay;Cuenca;De 5-9;47.891
Azuay;Cuenca;De 10-14;51.642
Azuay;Cuenca;De 15-19;51.327
Azuay;Cuenca;De 20-24;53.853
Azuay;Cuenca;De 25-29;49.556
Azuay;Cuenca;De 30-34;46.763
Azuay;Cuenca;De 35-39;44.980
Azuay;Cuenca;De 40-44;40.488
Azuay;Cuenca;De 45-49;33.404
Azuay;Cuenca;De 50-54;30.242
