provincia ;canton;area;asiste_a_educacion;numero_total_personas;ninguno;guarderia;educación_inicial;alfabetizacion;educacion_general_basica;bachillerato;postbachillerato;educacion_tecnica;educacion_superior;maestria;doctorado
Total Nacional;Nacional;Nacional;Nacional;16.938.986;1.249.373;236.575;342.822;40.884;6.693.121;4.732.108;69.967;399.743;2.809.268;339.129;25.996
Total Nacional;Nacional;Total Nacional;Asiste;5.492.648;;200.395;312.019;2.085;2.900.095;935.304;17.435;108.902;1.007.275;8.420;718
Total Nacional;Nacional;Total Nacional;No asiste;11.446.338;1.249.373;36.180;30.803;38.799;3.793.026;3.796.804;52.532;290.841;1.801.993;330.709;25.278
Total Nacional;Nacional;Urbana;Total Nacional;10.687.151;657.702;123.653;214.474;10.360;3.726.815;3.123.659;50.469;287.422;2.197.224;274.211;21.162
Total Nacional;Nacional;Urbana;Asiste;3.477.710;;105.314;197.251;967;1.749.701;575.098;11.651;74.788;755.797;6.593;550
Total Nacional;Nacional;Urbana;No asiste;7.209.441;657.702;18.339;17.223;9.393;1.977.114;2.548.561;38.818;212.634;1.441.427;267.618;20.612
Total Nacional;Nacional;Rural;Total Nacional;6.251.835;591.671;112.922;128.348;30.524;2.966.306;1.608.449;19.498;112.321;612.044;64.918;4.834
Total Nacional;Nacional;Rural;Asiste;2.014.938;;95.081;114.768;1.118;1.150.394;360.206;5.784;34.114;251.478;1.827;168
Total Nacional;Nacional;Rural;No asiste;4.236.897;591.671;17.841;13.580;29.406;1.815.912;1.248.243;13.714;78.207;360.566;63.091;4.666
Azuay;Total Azuay;Total Azuay;Total Azuay;801.609;51.867;8.519;15.054;2.425;328.616;208.319;3.131;11.837;147.732;22.413;1.696
Azuay;Total Azuay;Urbana;Total Urbana;420.141;20.072;3.004;7.560;429;136.603;112.778;1.879;7.784;109.991;18.581;1.460
Azuay;Total Azuay;Urbana;Asiste;135.738;;2.587;7.080;35;63.768;20.853;486;1.965;38.434;487;43
Azuay;Total Azuay;Urbana;No asiste;284.403;20.072;417;480;394;72.835;91.925;1.393;5.819;71.557;18.094;1.417
Azuay;Total Azuay;Rural;Total Rural;381.468;31.795;5.515;7.494;1.996;192.013;95.541;1.252;4.053;37.741;3.832;236
Azuay;Total Azuay;Rural;Asiste;122.790;;4.724;6.905;79;70.417;22.289;482;1.474;16.259;144;17
Azuay;Total Azuay;Rural;No asiste;258.678;31.795;791;589;1.917;121.596;73.252;770;2.579;21.482;3.688;219
Azuay;Cuenca;Total Cuenca;Total Cuenca;596.101;33.699;4.604;11.204;915;221.458;156.468;2.528;9.991;132.598;21.002;1.634
Azuay;Cuenca;Total Cuenca;Asiste;195.177;;4.082;10.510;67;96.276;31.294;713;2.845;48.756;580;54
Azuay;Cuenca;Total Cuenca;No asiste;400.924;33.699;522;694;848;125.182;125.174;1.815;7.146;83.842;20.422;1.580
Azuay;Cuenca;Urbana;Total Urbana;361.524;16.346;2.197;6.274;230;111.498;95.515;1.647;6.917;101.811;17.667;1.422
Azuay;Cuenca;Urbana;Asiste;116.444;;1.934;5.880;24;52.853;17.499;409;1.726;35.622;457;40
Azuay;Cuenca;Urbana;No asiste;245.080;16.346;263;394;206;58.645;78.016;1.238;5.191;66.189;17.210;1.382
Azuay;Cuenca;Rural;Total Rural;234.577;17.353;2.407;4.930;685;109.960;60.953;881;3.074;30.787;3.335;212
Azuay;Cuenca;Rural;Asiste;78.733;;2.148;4.630;43;43.423;13.795;304;1.119;13.134;123;14
Azuay;Cuenca;Rural;No asiste;155.844;17.353;259;300;642;66.537;47.158;577;1.955;17.653;3.212;198
Azuay;Girón;Total Girón;Total Girón;12.182;873;182;184;124;6.864;2.885;25;126;823;92;4
Azuay;Girón;Total Girón;Asiste;3.631;;146;169;6;2.285;668;8;39;308;2;
Azuay;Girón;Total Girón;No asiste;8.551;873;36;15;118;4.579;2.217;17;87;515;90;4
