provincia;canton;ambarazo_adolescente
MORONA SANTIAGO;TAISHA;40,4
MORONA SANTIAGO;TIWINTZA;58,7
ZAMORA CHINCHIPE;NANGARITZA;70,7
MORONA SANTIAGO;LOGROÐO;63,4
MORONA SANTIAGO;HUAMBOYA;52,5
ESMERALDAS;SAN LORENZO;58,3
NAPO;ARCHIDONA;54,1
CHIMBORAZO;GUAMOTE;46,3
PASTAZA;ARAJUNO;46,6
LOS RIOS;PUEBLOVIEJO;52,1
ESMERALDAS;ELOY ALFARO;44,9
ESMERALDAS;RIOVERDE;45,6
MANABI;PEDERNALES;49,4
ESMERALDAS;MUISNE;46,0
MANABI;JAMA;62,5
MORONA SANTIAGO;SANTIAGO;50,0
LOS RIOS;BABA;47,7
ZAMORA CHINCHIPE;PAQUISHA;53,9
GUAYAS;EMPALME;49,3
NAPO;TENA;47,5
ORELLANA;LORETO;37,6
ZAMORA CHINCHIPE;YACUAMBI;42,4
MORONA SANTIAGO;PALORA;50,3
MANABI;PAJAN;46,3
MORONA SANTIAGO;PABLO SEXTO;57,3
ESMERALDAS;QUININDE;44,9
MANABI;FLAVIO ALFARO;46,5
MANABI;OLMEDO;50,8
MANABI;PICHINCHA;41,7
GUAYAS;BALZAR;50,7
MORONA SANTIAGO;SAN JUAN BOSCO;47,6
GUAYAS;ALFREDO BAQUERIZO MORENO;42,4
LOS RIOS;URDANETA;46,2
MANABI;BOLIVAR;46,0
MORONA SANTIAGO;SUCUA;48,0
LOS RIOS;PALENQUE;47,9
MORONA SANTIAGO;LIMON INDANZA;45,8
MORONA SANTIAGO;MORONA;41,8
LOS RIOS;BUENA FE;51,8
LOS RIOS;VINCES;44,2
GUAYAS;NARANJAL;42,1
MORONA SANTIAGO;GUALAQUIZA;42,0
MANABI;CHONE;42,1
LOS RIOS;VALENCIA;44,1
CAÑAR;SUSCAL;46,0
GUAYAS;PEDRO CARBO;41,8
MANABI;EL CARMEN;40,6
GUAYAS;SALITRE;33,5
ESMERALDAS;ATACAMES;38,8
LOJA;PINDAL;39,5
