Provincia;Cantón;POP_INDIGENA
MORONA SANTIAGO;TAISHA;98%
MORONA SANTIAGO;TIWINTZA;88%
ZAMORA CHINCHIPE;NANGARITZA;42%
MORONA SANTIAGO;LOGROÐO;82%
MORONA SANTIAGO;HUAMBOYA;86%
ESMERALDAS;SAN LORENZO;5%
NAPO;ARCHIDONA;85%
CHIMBORAZO;GUAMOTE;98%
PASTAZA;ARAJUNO;97%
LOS RIOS;PUEBLOVIEJO;2%
ESMERALDAS;ELOY ALFARO;18%
ESMERALDAS;RIOVERDE;1%
MANABI;PEDERNALES;0%
ESMERALDAS;MUISNE;3%
MANABI;JAMA;0%
MORONA SANTIAGO;SANTIAGO;48%
LOS RIOS;BABA;1%
ZAMORA CHINCHIPE;PAQUISHA;40%
GUAYAS;EMPALME;0%
NAPO;TENA;67%
ORELLANA;LORETO;72%
ZAMORA CHINCHIPE;YACUAMBI;80%
MORONA SANTIAGO;PALORA;43%
MANABI;PAJAN;0%
MORONA SANTIAGO;PABLO SEXTO;60%
ESMERALDAS;QUININDE;4%
MANABI;FLAVIO ALFARO;0%
MANABI;OLMEDO;0%
MANABI;PICHINCHA;0%
GUAYAS;BALZAR;0%
MORONA SANTIAGO;SAN JUAN BOSCO;35%
GUAYAS;ALFREDO BAQUERIZO MORENO;0%
LOS RIOS;URDANETA;0%
MANABI;BOLIVAR;0%
MORONA SANTIAGO;SUCUA;49%
LOS RIOS;PALENQUE;0%
MORONA SANTIAGO;LIMON INDANZA;30%
MORONA SANTIAGO;MORONA;50%
LOS RIOS;BUENA FE;0%
LOS RIOS;VINCES;0%
GUAYAS;NARANJAL;1%
MORONA SANTIAGO;GUALAQUIZA;40%
MANABI;CHONE;0%
LOS RIOS;VALENCIA;0%
CAÑAR;SUSCAL;86%
GUAYAS;PEDRO CARBO;0%
MANABI;EL CARMEN;0%
GUAYAS;SALITRE;0%
ESMERALDAS;ATACAMES;0%
LOJA;PINDAL;0%
GUAYAS;SAN JACINTO DE YAGUACHI;0%
MANABI;SAN VICENTE;0%
CHIMBORAZO;ALAUSI;64%
CHIMBORAZO;COLTA;90%
LOS RIOS;VENTANAS;1%
ZAMORA CHINCHIPE;EL PANGUI;28%
LOS RIOS;MOCACHE;1%
GUAYAS;SIMON BOLIVAR;0%
LOS RIOS;QUINSALOMA;1%
PASTAZA;PASTAZA;45%
SUCUMBIOS;SHUSHUFINDI;16%
AZUAY;NABON;38%
GUAYAS;COLIMES;0%
ZAMORA CHINCHIPE;PALANDA;0%
LOS RIOS;QUEVEDO;1%
COTOPAXI;SIGCHOS;42%
MANABI;SUCRE;0%
ESMERALDAS;ESMERALDAS;1%
EL ORO;EL GUABO;1%
ZAMORA CHINCHIPE;YANTZAZA;15%
ORELLANA;AGUARICO;89%
SUCUMBIOS;PUTUMAYO;31%
MANABI;SANTA ANA;0%
GUAYAS;ISIDRO AYORA;0%
SUCUMBIOS;LAGO AGRIO;12%
MANABI;TOSAGUA;0%
SUCUMBIOS;GONZALO PIZARRO;33%
SUCUMBIOS;CASCALES;35%
COTOPAXI;PANGUA;7%
LOS RIOS;BABAHOYO;0%
AZUAY;CAMILO PONCE ENRIQUEZ;1%
MANABI;24 DE MAYO;0%
SUCUMBIOS;CUYABENO;20%
MANABI;PUERTO LOPEZ;3%
COTOPAXI;PUJILI;54%
LOJA;ZAPOTILLO;0%
ORELLANA;LA JOYA DE LOS SACHAS;19%
PASTAZA;SANTA CLARA;66%
GUAYAS;MILAGRO;1%
NAPO;CARLOS JULIO AROSEMENA TOLA;61%
CAÑAR;LA TRONCAL;1%
GUAYAS;SANTA LUCIA;0%
BOLIVAR;GUARANDA;53%
LOJA;GONZANAMA;0%
PICHINCHA;SAN MIGUEL DE LOS BANCOS;1%
MANABI;JUNIN;0%
ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;12%
ORELLANA;ORELLANA;33%
BOLIVAR;CHILLANES;5%
GUAYAS;NOBOL;0%
GUAYAS;EL TRIUNFO;1%
LOJA;ESPINDOLA;0%
GUAYAS;PLAYAS;1%
LOJA;SARAGURO;38%
MANABI;JIPIJAPA;0%
PICHINCHA;PUERTO QUITO;0%
IMBABURA;PIMAMPIRO;11%
ZAMORA CHINCHIPE;ZAMORA;10%
CAÑAR;CAÑAR;41%
LOJA;OLMEDO;0%
GUAYAS;BALAO;0%
IMBABURA;COTACACHI;42%
COTOPAXI;LA MANA;4%
EL ORO;SANTA ROSA;0%
MANABI;MONTECRISTI;0%
SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;2%
SANTA ELENA;SALINAS;0%
ZAMORA CHINCHIPE;CHINCHIPE;1%
CAÑAR;EL TAMBO;54%
AZUAY;GUALACEO;1%
PICHINCHA;PEDRO MONCAYO;30%
GUAYAS;PALESTINA;0%
MANABI;JARAMIJO;0%
EL ORO;PASAJE;0%
AZUAY;SIGSIG;1%
CHIMBORAZO;PALLATANGA;42%
PICHINCHA;PEDRO VICENTE MALDONADO;3%
BOLIVAR;LAS NAVES;1%
CHIMBORAZO;CHUNCHI;4%
LOJA;CALVAS;0%
BOLIVAR;CHIMBO;8%
LOJA;SOZORANGA;0%
PASTAZA;MERA;52%
AZUAY;SANTA ISABEL;0%
SANTA ELENA;SANTA ELENA;2%
LOJA;PUYANGO;0%
IMBABURA;OTAVALO;67%
COTOPAXI;SAQUISILI;44%
BOLIVAR;SAN MIGUEL;7%
LOJA;CHAGUARPAMBA;0%
AZUAY;PUCARA;0%
GUAYAS;NARANJITO;7%
LOJA;PALTAS;0%
GUAYAS;LOMAS DE SARGENTILLO;0%
AZUAY;GIRON;1%
EL ORO;HUAQUILLAS;0%
GUAYAS;SAMBORONDON;0%
TUNGURAHUA;PATATE;7%
CHIMBORAZO;GUANO;13%
LOJA;CELICA;0%
PICHINCHA;CAYAMBE;35%
EL ORO;ZARUMA;0%
LOJA;QUILANGA;0%
COTOPAXI;SALCEDO;33%
GUAYAS;GNRAL. ANTONIO ELIZALDE;2%
EL ORO;ARENILLAS;0%
CAÑAR;BIBLIAN;4%
TUNGURAHUA;TISALEO;3%
GUAYAS;GUAYAQUIL;1%
LOS RIOS;MONTALVO;0%
CARCHI;BOLIVAR;1%
CHIMBORAZO;PENIPE;2%
CARCHI;MIRA;5%
EL ORO;BALSAS;0%
