provincia;canton;pobreza_nbi
MORONA SANTIAGO;TAISHA;97%
MORONA SANTIAGO;TIWINTZA;93%
ZAMORA CHINCHIPE;NANGARITZA;57%
MORONA SANTIAGO;LOGROÐO;83%
MORONA SANTIAGO;HUAMBOYA;88%
ESMERALDAS;SAN LORENZO;74%
NAPO;ARCHIDONA;77%
CHIMBORAZO;GUAMOTE;89%
PASTAZA;ARAJUNO;87%
LOS RIOS;PUEBLOVIEJO;64%
ESMERALDAS;ELOY ALFARO;88%
ESMERALDAS;RIOVERDE;92%
MANABI;PEDERNALES;79%
ESMERALDAS;MUISNE;92%
MANABI;JAMA;67%
MORONA SANTIAGO;SANTIAGO;61%
LOS RIOS;BABA;78%
ZAMORA CHINCHIPE;PAQUISHA;63%
GUAYAS;EMPALME;72%
NAPO;TENA;61%
ORELLANA;LORETO;84%
ZAMORA CHINCHIPE;YACUAMBI;69%
MORONA SANTIAGO;PALORA;54%
MANABI;PAJAN;89%
MORONA SANTIAGO;PABLO SEXTO;58%
ESMERALDAS;QUININDE;71%
MANABI;FLAVIO ALFARO;85%
MANABI;OLMEDO;94%
MANABI;PICHINCHA;86%
GUAYAS;BALZAR;79%
MORONA SANTIAGO;SAN JUAN BOSCO;59%
GUAYAS;ALFREDO BAQUERIZO MORENO;84%
LOS RIOS;URDANETA;76%
MANABI;BOLIVAR;77%
MORONA SANTIAGO;SUCUA;52%
LOS RIOS;PALENQUE;83%
MORONA SANTIAGO;LIMON INDANZA;59%
MORONA SANTIAGO;MORONA;53%
LOS RIOS;BUENA FE;51%
LOS RIOS;VINCES;68%
GUAYAS;NARANJAL;54%
MORONA SANTIAGO;GUALAQUIZA;56%
MANABI;CHONE;69%
LOS RIOS;VALENCIA;82%
CAÑAR;SUSCAL;61%
GUAYAS;PEDRO CARBO;72%
MANABI;EL CARMEN;71%
GUAYAS;SALITRE;89%
ESMERALDAS;ATACAMES;71%
LOJA;PINDAL;72%
GUAYAS;SAN JACINTO DE YAGUACHI;58%
MANABI;SAN VICENTE;75%
CHIMBORAZO;ALAUSI;74%
CHIMBORAZO;COLTA;81%
LOS RIOS;VENTANAS;65%
ZAMORA CHINCHIPE;EL PANGUI;50%
LOS RIOS;MOCACHE;74%
GUAYAS;SIMON BOLIVAR;72%
LOS RIOS;QUINSALOMA;73%
PASTAZA;PASTAZA;49%
SUCUMBIOS;SHUSHUFINDI;62%
AZUAY;NABON;72%
GUAYAS;COLIMES;81%
ZAMORA CHINCHIPE;PALANDA;66%
LOS RIOS;QUEVEDO;51%
COTOPAXI;SIGCHOS;82%
MANABI;SUCRE;66%
ESMERALDAS;ESMERALDAS;38%
EL ORO;EL GUABO;52%
ZAMORA CHINCHIPE;YANTZAZA;47%
ORELLANA;AGUARICO;81%
SUCUMBIOS;PUTUMAYO;81%
MANABI;SANTA ANA;73%
GUAYAS;ISIDRO AYORA;77%
SUCUMBIOS;LAGO AGRIO;55%
MANABI;TOSAGUA;63%
SUCUMBIOS;GONZALO PIZARRO;55%
SUCUMBIOS;CASCALES;65%
COTOPAXI;PANGUA;69%
LOS RIOS;BABAHOYO;54%
AZUAY;CAMILO PONCE ENRIQUEZ;39%
MANABI;24 DE MAYO;85%
SUCUMBIOS;CUYABENO;76%
MANABI;PUERTO LOPEZ;73%
COTOPAXI;PUJILI;65%
LOJA;ZAPOTILLO;59%
ORELLANA;LA JOYA DE LOS SACHAS;78%
PASTAZA;SANTA CLARA;49%
GUAYAS;MILAGRO;46%
NAPO;CARLOS JULIO AROSEMENA TOLA;54%
CAÑAR;LA TRONCAL;45%
GUAYAS;SANTA LUCIA;74%
BOLIVAR;GUARANDA;62%
LOJA;GONZANAMA;63%
PICHINCHA;SAN MIGUEL DE LOS BANCOS;43%
MANABI;JUNIN;75%
ZAMORA CHINCHIPE;CENTINELA DEL CONDOR;53%
ORELLANA;ORELLANA;58%
BOLIVAR;CHILLANES;72%
GUAYAS;NOBOL;49%
GUAYAS;EL TRIUNFO;56%
LOJA;ESPINDOLA;71%
GUAYAS;PLAYAS;48%
LOJA;SARAGURO;65%
MANABI;JIPIJAPA;73%
PICHINCHA;PUERTO QUITO;67%
IMBABURA;PIMAMPIRO;42%
ZAMORA CHINCHIPE;ZAMORA;36%
CAÑAR;CAÑAR;47%
LOJA;OLMEDO;64%
GUAYAS;BALAO;47%
IMBABURA;COTACACHI;55%
COTOPAXI;LA MANA;46%
EL ORO;SANTA ROSA;30%
MANABI;MONTECRISTI;79%
SANTO DOMINGO DE LOS TSACHILAS;SANTO DOMINGO;45%
SANTA ELENA;SALINAS;43%
ZAMORA CHINCHIPE;CHINCHIPE;60%
CAÑAR;EL TAMBO;35%
AZUAY;GUALACEO;43%
PICHINCHA;PEDRO MONCAYO;38%
GUAYAS;PALESTINA;67%
MANABI;JARAMIJO;56%
EL ORO;PASAJE;36%
AZUAY;SIGSIG;52%
CHIMBORAZO;PALLATANGA;65%
PICHINCHA;PEDRO VICENTE MALDONADO;53%
BOLIVAR;LAS NAVES;55%
CHIMBORAZO;CHUNCHI;54%
LOJA;CALVAS;50%
BOLIVAR;CHIMBO;59%
LOJA;SOZORANGA;78%
PASTAZA;MERA;51%
AZUAY;SANTA ISABEL;37%
SANTA ELENA;SANTA ELENA;51%
LOJA;PUYANGO;47%
IMBABURA;OTAVALO;45%
COTOPAXI;SAQUISILI;57%
BOLIVAR;SAN MIGUEL;58%
LOJA;CHAGUARPAMBA;57%
AZUAY;PUCARA;65%
GUAYAS;NARANJITO;45%
LOJA;PALTAS;57%
GUAYAS;LOMAS DE SARGENTILLO;58%
AZUAY;GIRON;33%
EL ORO;HUAQUILLAS;41%
GUAYAS;SAMBORONDON;32%
TUNGURAHUA;PATATE;54%
CHIMBORAZO;GUANO;49%
LOJA;CELICA;60%
PICHINCHA;CAYAMBE;35%
EL ORO;ZARUMA;43%
LOJA;QUILANGA;65%
COTOPAXI;SALCEDO;49%
GUAYAS;GNRAL. ANTONIO ELIZALDE;46%
EL ORO;ARENILLAS;40%
CAÑAR;BIBLIAN;43%
TUNGURAHUA;TISALEO;41%
GUAYAS;GUAYAQUIL;29%
LOS RIOS;MONTALVO;52%
CARCHI;BOLIVAR;40%
CHIMBORAZO;PENIPE;49%
CARCHI;MIRA;45%
EL ORO;BALSAS;52%
BOLIVAR;CALUMA;40%
IMBABURA;SAN MIGUEL DE URCUQUI;45%
EL ORO;LAS LAJAS;37%
MANABI;ROCAFUERTE;52%
AZUAY;CHORDELEG;33%
EL ORO;MACHALA;33%
CARCHI;TULCAN;30%
CARCHI;ESPEJO;38%
MANABI;PORTOVIEJO;43%
GUAYAS;DURAN;65%
MANABI;MANTA;32%
COTOPAXI;LATACUNGA;38%
EL ORO;CHILLA;63%
EL ORO;PORTOVELO;31%
TUNGURAHUA;QUERO;54%
TUNGURAHUA;MOCHA;31%
BOLIVAR;ECHEANDIA;44%
SANTA ELENA;LA LIBERTAD;45%
CAÑAR;AZOGUES;26%
LOJA;MACARA;45%
CAÑAR;DELEG;43%
TUNGURAHUA;SAN PEDRO DE PELILEO;44%
LOJA;CATAMAYO;35%
CHIMBORAZO;CHAMBO;37%
TUNGURAHUA;AMBATO;26%
TUNGURAHUA;SANTIAGO DE PILLARO;46%
AZUAY;SEVILLA DE ORO;27%
AZUAY;PAUTE;33%
EL ORO;ATAHUALPA;40%
GUAYAS;DAULE;35%
CARCHI;MONTUFAR;35%
NAPO;QUIJOS;40%
CARCHI;SAN PEDRO DE HUACA;31%
NAPO;EL CHACO;38%
IMBABURA;ANTONIO ANTE;27%
CHIMBORAZO;RIOBAMBA;25%
EL ORO;MARCABELI;29%
PICHINCHA;MEJIA;26%
CHIMBORAZO;CUMANDA;36%
TUNGURAHUA;BAÑOS DE AGUA SANTA;22%
SUCUMBIOS;SUCUMBIOS;50%
AZUAY;CUENCA;20%
IMBABURA;IBARRA;21%
AZUAY;EL PAN;26%
AZUAY;OÑA;56%
LOJA;LOJA;24%
PICHINCHA;QUITO;14%
EL ORO;PIÑAS;36%
GUAYAS;CRNEL. MARCELINO MARIDUEÑA;40%
GALAPAGOS;SAN CRISTOBAL;21%
GALAPAGOS;SANTA CRUZ;37%
AZUAY;SAN FERNANDO;31%
TUNGURAHUA;CEVALLOS;23%
PICHINCHA;RUMIÐAHUI;11%
AZUAY;GUACHAPALA;32%
GALAPAGOS;ISABELA;30%
